Date,Close,High,Low,Open,Volume
9/21/1981,3.5293,3.5293,3.5293,3.5293,0
9/22/1981,3.4209,3.4364,3.4209,3.4364,4449
9/23/1981,3.3513,3.3745,3.3513,3.3745,37372
9/24/1981,3.1655,3.181,3.1655,3.181,9788
9/25/1981,3.0572,3.0804,3.0572,3.0804,47160
9/28/1981,2.7166,2.7321,2.7166,2.7321,67626
9/29/1981,2.9643,2.9798,2.9643,2.9643,30254
9/30/1981,2.8095,2.825,2.8095,2.825,10678
10/1/1981,2.6237,2.6392,2.6237,2.6392,21355
10/2/1981,2.6779,2.6934,2.6779,2.6779,18686
10/5/1981,2.9798,2.9875,2.9798,2.9798,41821
10/6/1981,2.8946,2.9101,2.8946,2.9101,6229
10/7/1981,3.0649,3.0881,3.0649,3.0649,5339
10/8/1981,3.0417,3.0572,3.0417,3.0572,18686
10/9/1981,3.1191,3.1345,3.1191,3.1191,16017
10/12/1981,3.3513,3.359,3.3513,3.3513,12457
10/13/1981,3.2661,3.2893,3.2661,3.2893,16906
10/14/1981,3.1345,3.15,3.1345,3.15,10678
10/15/1981,2.9488,2.972,2.9488,2.972,13347
10/16/1981,2.794,2.8095,2.794,2.8095,28474
10/19/1981,2.794,2.8172,2.794,2.794,2669
10/20/1981,2.9952,3.0185,2.9952,2.9952,25805
10/21/1981,2.9643,2.9798,2.9643,2.9798,14237
10/22/1981,2.9643,2.9643,2.9643,2.9643,0
10/23/1981,2.9101,2.9256,2.9101,2.9256,7118
10/26/1981,2.8095,2.825,2.8095,2.825,1780
10/27/1981,2.8095,2.8095,2.8095,2.8095,0
10/29/1981,2.9952,3.0107,2.9952,2.9952,5339
10/30/1981,3.003,3.0262,3.003,3.003,12457
11/2/1981,3.0958,3.1191,3.0958,3.0958,2669
11/3/1981,3.0958,3.0958,3.0958,3.0958,0
11/4/1981,3.1578,3.1732,3.1578,3.1578,6229
11/5/1981,3.1655,3.1732,3.1655,3.1655,56948
11/6/1981,3.2584,3.2739,3.2584,3.2584,37372
11/9/1981,3.1965,3.2119,3.1965,3.2119,9788
11/10/1981,3.1732,3.1887,3.1732,3.1887,7118
11/11/1981,3.1732,3.1732,3.1732,3.1732,0
11/13/1981,3.2352,3.2506,3.2352,3.2352,1780
11/16/1981,3.2506,3.2739,3.2506,3.2506,890
11/17/1981,3.2506,3.2506,3.2506,3.2506,0
11/18/1981,3.1887,3.2119,3.1887,3.2119,5339
11/19/1981,3.2042,3.2197,3.2042,3.2042,5339
11/20/1981,3.2119,3.2274,3.2119,3.2119,13347
11/23/1981,3.2274,3.2506,3.2274,3.2274,2669
11/24/1981,3.181,3.1965,3.181,3.1965,13347
11/25/1981,3.15,3.1732,3.15,3.1732,8898
11/27/1981,3.15,3.15,3.15,3.15,0
11/30/1981,3.0881,3.1036,3.0881,3.1036,890
12/1/1981,3.0494,3.0649,3.0494,3.0649,14237
12/2/1981,3.0107,3.0262,3.0107,3.0262,890
12/3/1981,3.0107,3.0107,3.0107,3.0107,0
12/7/1981,3.2197,3.2352,3.2197,3.2197,29364
12/8/1981,3.1887,3.2042,3.1887,3.2042,17796
12/9/1981,3.1887,3.1887,3.1887,3.1887,0
12/10/1981,3.0881,3.1036,3.0881,3.1036,1780
12/11/1981,3.0726,3.0959,3.0726,3.0881,890
12/14/1981,3.0649,3.0881,3.0649,3.0726,890
12/15/1981,3.0804,3.1036,3.0804,3.0804,1780
12/16/1981,3.0649,3.0804,3.0649,3.0804,3559
12/17/1981,3.1423,3.1578,3.1423,3.1423,18686
12/18/1981,3.0958,3.1268,3.0958,3.1268,1780
12/22/1981,3.0804,3.1036,3.0804,3.0959,2669
12/23/1981,3.1887,3.2119,3.1887,3.1887,6229
12/28/1981,3.5076,3.5076,3.5076,3.5076,0
12/30/1981,3.0734,3.0989,3.0734,3.0989,809
12/31/1981,3.0819,3.0989,3.0819,3.0819,4045
1/4/1982,3.0819,3.0819,3.0819,3.0819,0
1/5/1982,3.133,3.15,3.133,3.133,809
1/6/1982,3.133,3.133,3.133,3.133,0
1/7/1982,3.0649,3.0734,3.0649,3.0734,809
1/8/1982,3.0223,3.0479,3.0223,3.0479,3236
1/11/1982,3.0138,3.0223,3.0138,3.0223,17796
1/12/1982,3.0138,3.0138,3.0138,3.0138,0
1/13/1982,2.9372,2.9542,2.9372,2.9542,3236
1/14/1982,2.9287,2.9542,2.9287,2.9372,3236
1/15/1982,2.9287,2.9542,2.9287,2.9287,1618
1/18/1982,2.9457,2.9712,2.9457,2.9457,3236
1/19/1982,2.9883,3.0053,2.9883,2.9883,8089
1/20/1982,3.0138,3.0308,3.0138,3.0138,1618
1/21/1982,2.9798,3.0053,2.9798,3.0053,2427
1/22/1982,3.0053,3.0138,3.0053,3.0053,5662
1/25/1982,3.1245,3.15,3.1245,3.1245,16178
1/26/1982,3.133,3.15,3.133,3.133,33166
1/27/1982,3.3544,3.3714,3.3544,3.3544,65522
1/28/1982,3.3203,3.3373,3.3203,3.3373,54198
1/29/1982,3.3118,3.3203,3.3118,3.3203,13752
2/1/1982,3.1585,3.1841,3.1585,3.1841,23459
2/2/1982,3.0819,3.0904,3.0819,3.0904,809
2/3/1982,3.0989,3.116,3.0989,3.0989,34784
2/4/1982,3.0479,3.0649,3.0479,3.0649,12943
2/5/1982,3.0479,3.0479,3.0479,3.0479,0
2/8/1982,2.9712,2.9883,2.9712,2.9883,25885
2/9/1982,2.9542,2.9798,2.9542,2.9712,3236
2/10/1982,3.0479,3.0734,3.0479,3.0479,3236
2/12/1982,2.9627,2.9883,2.9627,2.9883,809
2/16/1982,2.9542,2.9798,2.9542,2.9627,5662
2/17/1982,2.9542,2.9542,2.9542,2.9542,0
2/19/1982,3.0053,3.0223,3.0053,3.0053,11325
2/22/1982,3.0138,3.0308,3.0138,3.0138,24268
2/23/1982,2.9542,2.9712,2.9542,2.9712,36401
2/24/1982,2.8861,2.9031,2.8861,2.9031,14561
2/25/1982,2.8691,2.8861,2.8691,2.8861,11325
2/26/1982,2.7925,2.818,2.7925,2.818,13752
3/1/1982,2.7414,2.7669,2.7414,2.7669,1618
3/2/1982,2.7584,2.7839,2.7584,2.7584,30739
3/3/1982,2.7839,2.8095,2.7839,2.7839,3236
3/4/1982,2.6988,2.7158,2.6988,2.7158,4854
3/5/1982,2.6392,2.6648,2.6392,2.6648,2427
3/8/1982,2.7073,2.7243,2.7073,2.7073,3236
3/9/1982,2.6392,2.6562,2.6392,2.6562,16178
3/10/1982,2.6477,2.6733,2.6477,2.6477,20223
3/11/1982,2.6307,2.6477,2.6307,2.6477,41255
3/12/1982,2.503,2.52,2.503,2.52,16987
3/15/1982,2.5115,2.5115,2.5115,2.5115,0
